iter	Passed	Remaining
251	1161	3446
252	1166	3444
253	1176	3454
254	1181	3453
255	1184	3443
256	1187	3433
257	1190	3424
258	1193	3415
259	1196	3406
260	1199	3396
261	1202	3386
262	1205	3377
263	1211	3377
264	1227	3403
265	1229	3393
266	1232	3383
267	1235	3373
268	1237	3363
269	1241	3356
270	1244	3346
271	1246	3336
272	1249	3327
273	1254	3325
274	1266	3337
275	1273	3340
276	1275	3330
277	1278	3320
278	1281	3312
279	1288	3314
280	1291	3305
281	1320	3361
282	1324	3356
283	1327	3346
284	1329	3336
285	1336	3335
286	1339	3327
287	1341	3317
288	1348	3317
289	1353	3314
290	1360	3314
291	1373	3330
292	1376	3320
293	1385	3326
294	1388	3317
295	1390	3307
296	1396	3305
297	1400	3298
298	1402	3288
299	1405	3280
300	1408	3271
301	1423	3289
302	1429	3287
303	1432	3278
304	1434	3268
305	1437	3259
306	1439	3249
307	1445	3247
308	1448	3238
309	1451	3229
310	1460	3234
311	1462	3225
312	1465	3215
313	1467	3206
314	1470	3197
315	1476	3196
316	1479	3187
317	1481	3178
318	1484	3168
319	1486	3159
320	1491	3154
321	1506	3172
322	1510	3165
323	1513	3156
324	1516	3149
325	1522	3148
326	1527	3143
327	1530	3136
328	1533	3127
329	1540	3127
330	1563	3160
331	1571	3161
332	1573	3152
333	1576	3143
334	1579	3134
335	1582	3126
336	1585	3118
337	1587	3109
338	1590	3102
339	1598	3102
340	1615	3121
341	1618	3113
342	1620	3104
343	1623	3095
344	1629	3093
345	1632	3085
346	1634	3076
347	1637	3067
348	1640	3059
349	1643	3051
350	1645	3042
351	1649	3035
352	1654	3032
353	1657	3025
354	1661	3018
355	1663	3009
356	1665	3000
357	1672	3000
358	1676	2993
359	1679	2985
360	1687	2987
361	1690	2979
362	1693	2971
363	1696	2963
364	1698	2955
365	1701	2948
366	1704	2939
367	1707	2931
368	1709	2923
369	1714	2919
370	1717	2911
371	1719	2903
372	1722	2895
373	1724	2887
374	1730	2884
375	1741	2889
376	1747	2887
377	1749	2879
378	1752	2870
379	1754	2863
380	1757	2855
381	1761	2849
382	1764	2842
383	1766	2834
384	1769	2827
385	1777	2827
386	1780	2820
387	1783	2812
388	1785	2804
389	1791	2802
390	1794	2795
391	1797	2788
392	1800	2781
393	1808	2780
394	1810	2773
395	1813	2766
396	1821	2766
397	1824	2759
398	1827	2752
399	1829	2744
400	1832	2737
401	1835	2730
402	1838	2723
403	1841	2716
404	1843	2708
405	1847	2702
406	1851	2697
407	1854	2690
408	1857	2683
409	1860	2676
410	1864	2671
411	1866	2664
412	1869	2657
413	1872	2649
414	1874	2642
415	1880	2639
416	1883	2632
417	1885	2625
418	1888	2618
419	1893	2614
420	1898	2611
421	1901	2604
422	1904	2597
423	1911	2597
424	1914	2590
425	1917	2583
426	1919	2575
